1/0 bullet tournament                         , 3 days      , 600 - 1300 ,                 32,         200,           16.00,         168, ['Standard Tournament'], https://www.chess.com/tournament/1-0-bullet-tournament-1
quick one 24.3. 2025                          , 14 days     , 800 - 1300 ,                 39,         250,           15.60,         211, ['Standard Tournament'], https://www.chess.com/tournament/quick-one-24-3-2025
####                                          , 10 days     , 700 - 2200 ,                 14,          96,           14.58,          82, ['Standard Tournament'], https://www.chess.com/tournament/tournament-6079dd4287fcb9de1b5071e89584fa57
####                                          , 10 days     , 700 - 2200 ,                 14,          96,           14.58,          82, ['Standard Tournament'], https://www.chess.com/tournament/tournament-6079dd4287fcb9de1b5071e89584fa57
Tassilo von Heydebrand CUP#1                  , 2 days      , < 1000     ,                  7,          48,           14.58,          41, ['Standard Tournament'], https://www.chess.com/tournament/tassilo-von-heydebrand-cup-1
AMSTERDAM CHESS TOURNAMENT                    , 5 days      , 1300 - 1599,                 32,         222,           14.41,         190, ['Standard Tournament'], https://www.chess.com/tournament/amsterdam-chess-tournament-2
Summer Chess Camp - 2025 (U1200)              , 3 days      , < 1200     ,                 32,         224,           14.29,         192, ['Standard Tournament'], https://www.chess.com/tournament/summer-chess-camp-2025-u1200
quick one 17.4. 2025                          , 14 days     , 800 - 1300 ,                 35,         250,           14.00,         215, ['Standard Tournament'], https://www.chess.com/tournament/quick-one-17-4-2025
quick one 31.3. 2025                          , 14 days     , 800 - 1300 ,                 34,         250,           13.60,         216, ['Standard Tournament'], https://www.chess.com/tournament/quick-one-31-3-2025
quick one 5.4. 2025                           , 14 days     , 800 - 1300 ,                 32,         250,           12.80,         218, ['Standard Tournament'], https://www.chess.com/tournament/quick-one-5-4-2025
quick one 29.3. 2025                          , 14 days     , 800 - 1300 ,                 32,         250,           12.80,         218, ['Standard Tournament'], https://www.chess.com/tournament/quick-one-29-3-2025
3 day daily                                   , 3 days      , < 1200     ,                  5,          40,           12.50,          35, ['Standard Tournament'], https://www.chess.com/tournament/3-day-daily-12
May the best one win                          , 3 days      , Open       ,                 28,         228,           12.28,         200, ['Standard Tournament'], https://www.chess.com/tournament/may-the-best-one-win
BotChess Club Daily Tournament                , 3 days      , Open       ,                 29,         250,           11.60,         221, ['Standard Tournament'], https://www.chess.com/tournament/botchess-club-daily-tournament
Daily chess tournament                        , 14 days     , 600 - 2300 ,                 26,         245,           10.61,         219, ['Standard Tournament'], https://www.chess.com/tournament/daily-chess-tournament-228
GenshinImpact2                                , 3 days      , Open       ,                 26,         250,           10.40,         224, ['Standard Tournament'], https://www.chess.com/tournament/genshinimpact2
All Hawai'i Tournament                        , 3 days      , Open       ,                  4,          40,           10.00,          36, ['Standard Tournament'], https://www.chess.com/tournament/all-hawaii-tournament
All Hawai'i Tournament                        , 3 days      , Open       ,                  4,          40,           10.00,          36, ['Standard Tournament'], https://www.chess.com/tournament/all-hawaii-tournament
Training                                      , 3 days      , Open       ,                  3,          30,           10.00,          27, ['Standard Tournament'], https://www.chess.com/tournament/training-59
Summertime                                    , 3 days      , Open       ,                  3,          30,           10.00,          27, ['Standard Tournament'], https://www.chess.com/tournament/summertime-23
Summertime                                    , 3 days      , Open       ,                  3,          30,           10.00,          27, ['Standard Tournament'], https://www.chess.com/tournament/summertime-23
killer queen lovers                           , 1 day       , 1000 - 2500,                  3,          30,           10.00,          27, ['Standard Tournament'], https://www.chess.com/tournament/killer-queen-lovers
10 minutes Arnav Bansal tournament            , 1 day       , 600 - 2200 ,                  3,          30,           10.00,          27, ['Standard Tournament'], https://www.chess.com/tournament/10-minutes-arnav-bansal-tournament
10 minutes Arnav Bansal tournament            , 1 day       , 600 - 2200 ,                  3,          30,           10.00,          27, ['Standard Tournament'], https://www.chess.com/tournament/10-minutes-arnav-bansal-tournament
Budapest Tournament                           , 3 days      , Open       ,                  2,          20,           10.00,          18, ['Standard Tournament'], https://www.chess.com/tournament/budapest-tournament-27
VCT >1400 | Südstadt Open (Rd. 4/7)           , 2 days      , > 1401     ,                  3,          32,           09.38,          29, ['Standard Tournament'], https://www.chess.com/tournament/vct-1400-sudstadt-open-rd-4-7-1
quick one 9.4. 2025                           , 14 days     , 800 - 1300 ,                 21,         250,           08.40,         229, ['Standard Tournament'], https://www.chess.com/tournament/quick-one-9-4-2025
quick one 26.3. 2025                          , 14 days     , 800 - 1300 ,                 21,         250,           08.40,         229, ['Standard Tournament'], https://www.chess.com/tournament/quick-one-26-3-2025
Daily Knockout Matchs                         , 5 days      , 600 - 1900 ,                 19,         228,           08.33,         209, ['Standard Tournament'], https://www.chess.com/tournament/daily-knockout-matchs
VII Oficial Royal Chess Cup                   , 7 days      , 1400 - 1600,                  2,          24,           08.33,          22, ['Standard Tournament'], https://www.chess.com/tournament/vii-oficial-royal-chess-cup
VII Oficial Royal Chess Cup                   , 7 days      , 1400 - 1600,                  2,          24,           08.33,          22, ['Standard Tournament'], https://www.chess.com/tournament/vii-oficial-royal-chess-cup
BJSS Daily Tournament                         , 3 days      , Open       ,                  2,          24,           08.33,          22, ['Standard Tournament'], https://www.chess.com/tournament/bjss-daily-tournament
quick one 1.5. 2025                           , 14 days     , 800 - 1300 ,                 20,         250,           08.00,         230, ['Standard Tournament'], https://www.chess.com/tournament/quick-one-1-5-2025
7 days                                        , 7 days      , Open       ,                  2,          25,           08.00,          23, ['Standard Tournament'], https://www.chess.com/tournament/7-days-25
quick one 21.4. 2025                          , 14 days     , 800 - 1300 ,                 19,         250,           07.60,         231, ['Standard Tournament'], https://www.chess.com/tournament/quick-one-21-4-2025
quick one 20.4. 2025                          , 14 days     , 800 - 1300 ,                 19,         250,           07.60,         231, ['Standard Tournament'], https://www.chess.com/tournament/quick-one-20-4-2025
idk                                           , 14 days     , Open       ,                 19,         250,           07.60,         231, ['Standard Tournament'], https://www.chess.com/tournament/idk-46
R2GM Club U1200 Section                       , 3 days      , < 1200     ,                  4,          56,           07.14,          52, ['Standard Tournament'], https://www.chess.com/tournament/r2gm-club-u1200-section
R2GM Club U1200 Section                       , 3 days      , < 1200     ,                  4,          56,           07.14,          52, ['Standard Tournament'], https://www.chess.com/tournament/r2gm-club-u1200-section
The War of The Kings Tournament!              , 3 days      , Open       ,                  7,         100,           07.00,          93, ['Standard Tournament'], https://www.chess.com/tournament/the-war-of-the-kings-tournament
The War of The Kings Tournament!              , 3 days      , Open       ,                  7,         100,           07.00,          93, ['Standard Tournament'], https://www.chess.com/tournament/the-war-of-the-kings-tournament
Daily game                                    , 3 days      , 700 - 1000 ,                  7,         100,           07.00,          93, ['Standard Tournament'], https://www.chess.com/tournament/daily-game-29
quick one 16.4. 2025                          , 14 days     , 800 - 1300 ,                 17,         250,           06.80,         233, ['Standard Tournament'], https://www.chess.com/tournament/quick-one-16-4-2025
quick one 10.4. 2025                          , 14 days     , 800 - 1300 ,                 17,         250,           06.80,         233, ['Standard Tournament'], https://www.chess.com/tournament/quick-one-10-4-2025
DAILY BATTLER                                 , 1 day       , 600 - 2500 ,                  2,          30,           06.67,          28, ['Standard Tournament'], https://www.chess.com/tournament/daily-battler
quick one 6.4. 2025                           , 14 days     , 800 - 1300 ,                 16,         250,           06.40,         234, ['Standard Tournament'], https://www.chess.com/tournament/quick-one-6-4-2025
quick one 22.4. 2025                          , 14 days     , 800 - 1300 ,                 16,         250,           06.40,         234, ['Standard Tournament'], https://www.chess.com/tournament/quick-one-22-4-2025
quick one 11.4. 2025                          , 14 days     , 800 - 1300 ,                 15,         250,           06.00,         235, ['Standard Tournament'], https://www.chess.com/tournament/quick-one-11-4-2025
quick one 1.4. 2025                           , 14 days     , 800 - 1300 ,                 15,         250,           06.00,         235, ['Standard Tournament'], https://www.chess.com/tournament/quick-one-1-4-2025
BotChess Daily Tournament                     , 3 days      , Open       ,                 15,         250,           06.00,         235, ['Standard Tournament'], https://www.chess.com/tournament/botchess-daily-tournament-4
bro.1                                         , 1 day       , 600 - 1500 ,                  6,         100,           06.00,          94, ['Standard Tournament'], https://www.chess.com/tournament/bro-1
3 Minutes                                     , 1 day       , Open       ,                  5,          84,           05.95,          79, ['Standard Tournament'], https://www.chess.com/tournament/3-minutes
CHESS 600-2500                                , 3 days      , 600 - 2500 ,                  6,         102,           05.88,          96, ['Standard Tournament'], https://www.chess.com/tournament/chess-600-2500
CHESS 600-2500                                , 3 days      , 600 - 2500 ,                  6,         102,           05.88,          96, ['Standard Tournament'], https://www.chess.com/tournament/chess-600-2500
3 day                                         , 3 days      , Open       ,                  4,          70,           05.71,          66, ['Standard Tournament'], https://www.chess.com/tournament/3-day-210
