EAN;Menor preço (R$);Origem;Produto;Link
7896641808432;336.19;DROGAL;Tecta 40mg caixa com 30 comprimidos revestidos;https://www.drogal.com.br/tecta-40mg-30cpr/p
7893454101644;12.79;DROGAL;Alendronato de Sódio 70mg Cellera 4 Comprimidos;https://www.drogal.com.br/alendronato-de-sodio-70mg-cellera-4-comprimidos/p
7897316802861;53.09;DROGAL;Pred Mild 0,12% Suspensão Oftálmica Estéril 10ml;https://www.drogal.com.br/pred-mild-012-suspensao-oftalmica-esteril-10ml/p
7894916516648;26.59;DROGAL;Rohydorm 1mg 30 Comprimidos;https://www.drogal.com.br/rohydorm-1mg-30-comprimidos/p
7896770982683;44.15;DROGAL;Absorvente Protetor Masculino Tena Men Level 3 Noturno 8 Unidades;https://www.drogal.com.br/absorvente-protetor-masculino-tena-men-level-3-noturno-8-unidades/p
7891010253288;42.65;DROGAL;Gel Hidratante Pós Sol Sundown 95% Aloe Vera 140g;https://www.drogal.com.br/gel-hidratante-pos-sol-sundown-95-aloe-vera-140g/p
7500435230964;154.19;DROGAL;Citoneurin 5000mg 60 Comprimidos Revestidos;https://www.drogal.com.br/citoneurin-5000mg-60-comprimidos-revestidos/p
75321;17.0;DROGAL;Refil Sabonete Líquido Perolado para as Mãos Pitanga Negra 250ml;https://www.drogal.com.br/refil-sabonete-liquido-perolado--para-as-maos-pitanga-negra-250ml/p
7897595903372;30.69;DROGAL;Puran T4 112mcg 30 Comprimidos;https://www.drogal.com.br/puran-t4-112mcg-30-comprimidos/p
7898962943045;10.49;DROGAL;Naldecon Multi 4 Comprimidos;https://www.drogal.com.br/naldecon-multi-4-comprimidos/p
7896714292151;77.99;DROGAL;Laxante Fitoterápico Naturetti Geleia 130g;https://www.drogal.com.br/naturetti-geleia-130g/p
7891182016292;17.99;DROGAL;Tinta de Cabelo Koleston Louro Cinza Escuro 61;https://www.drogal.com.br/tinta-de-cabelo-koleston-louro-cinza-escuro-61/p
