EAN;Produto;Preço (R$);Link
7891010249922;Hipoglós 5000UI + 900UI + 150mg, bisnaga com 135g de pomada de uso dermatológico;67.61;https://www.drogaven.com.br/hipoglos-5000ui-900ui-150mg-bisnaga-com-135g-de-pomada-de-uso-dermatologico/p
7908236800223;Viagra 100mg, 4 comprimidos revestidos;210.65;https://www.drogaven.com.br/viagra-100mg-4-comprimidos-revestidos/p
7898940257638;Cera Ortodôntica Power Wax 5 unidades;11.09;https://www.drogaven.com.br/cera-ortodontica-power-wax-5-unidades/p
7896007549627;Fralda Descartável Huggies Supreme Care Disney Baby RN, pacote com 18 unidades;27.04;https://www.drogaven.com.br/fralda-descartavel-huggies-supreme-care-disney-baby-rn-pacote-com-18-unidades/p
7897947617995;Kit Lavitan Familhão Vitaminas Infantil 60 Comprimidos Mastigáveis + AZ Original 60 Comprimidos + AZ Mulher 60 Comprimidos;88.1;https://www.drogaven.com.br/lavitan-familhao-original60cpsmulher60cpsinfantil60cpr/p
9788557581883;LIVRO CIRANDA MAGIC CARROS BLOCO DE DESENHO MAGICO;11.66;https://www.drogaven.com.br/livro-ciranda-magic-carros-bloco-de-desenho-magico/p
7896004747057;Ezetimiba + Sinvastatina EMS 10mg + 20mg, 30 comprimidos;104.78;https://www.drogaven.com.br/ezetimiba-sinvastatina-ems-10mg-20mg-30-comprimidos/p
7896658016585;Betadine 24mg, 30 comprimidos;38.04;https://www.drogaven.com.br/betadine-24mg-30-comprimidos/p
7896438200302;BCAA 2400 Probiótica Monster 120 tabletes;88.1;https://www.drogaven.com.br/probiotica-bcaa-2400-120tabletes/p
7898632473292;HIDRATANTE LABOTRAT DIA A DIA 190ML PITAYA;24.88;https://www.drogaven.com.br/hidratante-labotrat-dia-a-dia-190ml-pitaya/p
7895296291071;Maleato de Dexclorfeniramina + Betametasona Nova Química 2mg + 0,25mg, 20 comprimidos;23.84;https://www.drogaven.com.br/maleato-de-dexclorfeniramina-betametasona-nova-quimica-2mg-025mg-20-comprimidos/p
7896331708066;Supravit C 500mg, sem sabor, 24 comprimidos de liberação prolongada;29.3;https://www.drogaven.com.br/supravit-c-500mg-sem-sabor-24-comprimidos-de-liberacao-prolongada/p
7897337716420;AVIANT 60ML XPE;43.1;https://www.drogaven.com.br/aviant-60ml-xpe/p
5016533650334;NEOFORTE MORANGO 400G;215.5;https://www.drogaven.com.br/neoforte-morango-400g/p
7898029557154;Procoralan 7,5mg, 56 comprimidos revestidos;191.02;https://www.drogaven.com.br/procoralan-75mg-56-comprimidos-revestidos/p
7898650623693;Batom Líquido Matte Vegano Ricosti Jade;24.2;https://www.drogaven.com.br/batom-liquido-matte-vegano-ricosti-jade/p
7898601064797;COLAR CERVICAL ESPUMA AZUL P KESTAL KSO110;43.02;https://www.drogaven.com.br/colar-cervical-espuma-azul-p-kestal-kso110/p
7899852022642;Pó Compacto Vult Matte Ultrafino V420 9g;24.0;https://www.drogaven.com.br/vult-make-po-comp-matte-ult-fino-9g-v420/p
7896112422150;Novanlo 2,5mg, 60 comprimidos;117.5;https://www.drogaven.com.br/novanlo-25mg-60-comprimidos/p
7891317489700;Vast 20mg, 30 comprimidos revestidos;86.08;https://www.drogaven.com.br/vast-20mg-30-comprimidos-revestidos/p
7896004759296;Rivaroxabana Germed Pharma 20mg, 30 comprimidos revestidos;68.59;https://www.drogaven.com.br/rivaroxabana-germed-pharma-20mg-30-comprimidos-revestidos/p
7899598006104;CAFEINA 400MG 60 CAPS BIONATUS;54.78;https://www.drogaven.com.br/cafeina-400mg-60-caps-bionatus/p
7891150063105;Sabonete Dove Nutrição Profunda líquido 250mL;14.2;https://www.drogaven.com.br/sabonete-dove-nutricao-profunda-liquido-250ml/p
7899852025407;Condicionador Intensivo Vult Cabelos Recarga de Hidratação 325mL;24.3;https://www.drogaven.com.br/condicionador-intensivo-vult-cabelos-recarga-de-hidratacao-325ml/p
7897947619586;CARMED PROTETOR HIDRATANTE LABIAL AMORA CLARO 10G;27.43;https://www.drogaven.com.br/carmed-protetor-hidratante-labial-amora-claro-10g/p
7896637022804;Triancil 20mg/mL, frasco com 5mL de suspensão de uso intra-articular;135.62;https://www.drogaven.com.br/triancil-20mgml-frasco-com-5ml-de-suspensao-de-uso-intra-articular/p
7898969895262;SOPINHA RISOTINHO PAPAPA ARROZ QUINOA FRANGO 180G;19.5;https://www.drogaven.com.br/sopinha-risotinho-papapa-arroz-quinoa-frango-180g/p
7896658002113;Brondilat 10mg/mL, frasco com 120mL de xarope adulto + 1 copo medidor;51.87;https://www.drogaven.com.br/brondilat-10mgml-frasco-com-120ml-de-xarope-adulto-1-copo-medidor/p
7891268117172;Lípitor 80mg, caixa com 30 comprimidos revestidos;330.04;https://www.drogaven.com.br/lipitor-80mg-30cpr-pbm/p
7890541856074;HAVAIANAS LUNA ROSA CROCUS 31/2 1219538...;28.18;https://www.drogaven.com.br/havaianas-luna-rosa-crocus-312-1219538/p
7891058001643;Cewin Solução Oral 200mg/mL, frasco com 20mL de solução de uso oral;20.64;https://www.drogaven.com.br/cewin-solucao-oral-200mgml-frasco-com-20ml-de-solucao-de-uso-oral/p
8902220114876;Olmesartana Medoxomila Torrent 20mg, 30 comprimidos revestidos;48.74;https://www.drogaven.com.br/olmesartana-medoxomila-torrent-20mg-30-comprimidos-revestidos/p
7899898402880;Órtese para Punho Mova Ortho curta, com tala, GG, bilateral, preta com 1 unidade;39.66;https://www.drogaven.com.br/ortese-para-punho-mova-ortho-curta-com-tala-gg-bilateral-preta-com-1-unidade/p
