EAN;Curva;Produto;Concorrente;Preço concorrente;Nosso preço;Ganhador;Melhor preço;Classificação
7898422746759;B;SABONETE DOVE ORIGINAL 90G;Drogal;4.99;5.25;Drogal;4.99;PRINCIPAL > PERFUMARIA > HIGIENE > CORPORAL > SABONETE BARRA
7898549756617;C;SABONETE ESFOLIANTE ACNASE CLEAN 80G;Drogal;17.39;18.94;Drogal;17.39;PRINCIPAL > PERFUMARIA > BELEZA > ROSTO > classificar
7896020162728;C;SHAMPOO BARUEL BABY SUAVE 400ML;Drogaven;20.28;16.41;DROGACENTRO;16.41;PRINCIPAL > PERFUMARIA > INFANTIL > HIGIENE INFANTIL > SHAMPOO
7891150008151;D;SHAMPOO CLEAR ANTICASPA HIDRATACAO INTENSA 200ML;Drogaven;17.53;21.33;Drogaven;17.53;PRINCIPAL > PERFUMARIA > CABELO > SHAMPOO 
7891150054462;D;SHAMPOO DOVE  HIDRATAÇÃO INTENSA OXIGENIO 200ML;Drogal;8.89;17.13;Drogal;8.89;PRINCIPAL > PERFUMARIA > CABELO > SHAMPOO 
7899706244107;D;SHAMPOO ELSEVE HIALURONICO PURE 400ML;Drogaven;27.34;31.47;Drogaven;27.34;PRINCIPAL > PERFUMARIA > CABELO > SHAMPOO 
7898610370087;C;SHAMPOO HASKELL CAVALO FORTE 500ML;DrogaRaia;84.88;66.08;DROGACENTRO;66.08;PRINCIPAL > PERFUMARIA > CABELO > SHAMPOO 
7506309865393;C;SHAMPOO HEAD E SHOULDERS MEN 3EM1 200ML;Drogal;17.99;18.88;Drogal;17.99;PRINCIPAL > PERFUMARIA > MASCULINO > CABELO MASC > SHAMPOO
7891024174135;C;SHAMPOO PALMOLIVE NATURALS KIDS 350ML;Drogal;16.85;19.33;Drogal;16.85;PRINCIPAL > PERFUMARIA > INFANTIL > HIGIENE INFANTIL > SHAMPOO
7891150037397;C;SHAMPOO SEDA CERAMIDAS 325ML;Drogaven;12.64;14.19;Drogaven;12.64;PRINCIPAL > PERFUMARIA > CABELO > SHAMPOO 
7899706135795;D;SOLAR EXPERTISE SUPREME PROTECT FPS 50 120ML;Drogaven;53.6;61.65;Drogaven;53.6;PRINCIPAL > PERFUMARIA > BELEZA > PROTETOR PELE > classificar
7896699019989;C;TIRA LEITE LOLLY;Drogal;40.35;40.17;DROGACENTRO;40.17;PRINCIPAL > PERFUMARIA > INFANTIL > ACESSORIO INFANTIL > classificar
