EAN;Menor preço (R$);Origem;Produto;Link
7898919412341;10.68;Drogaven;Hidratante Corporal Monange Hidratação Nutritiva iogurte e aveia com 200mL;https://www.drogaven.com.br/hidratante-corporal-monange-hidratacao-nutritiva-iogurte-e-aveia-com-200ml/p
7500435129374;22.53;Drogaven;Desodorante Antitranspirante Feminino Secret Invisible Powder Protect Cotton gel, stick com 45g;https://www.drogaven.com.br/desodorante-antitranspirante-feminino-secret-invisible-powder-protect-cotton-gel-stick-com-45g/p
7898632473070;32.33;Drogaven;LABOTRAT AMOLECEDOR CRAVOS E ESPINHAS 50G;https://www.drogaven.com.br/labotrat-amolecedor-cravos-e-espinhas-50g/p
7896020162728;20.28;Drogaven;Shampoo Baruel Baby Suave (400mL);https://www.drogaven.com.br/shampoo-baruel-baby-suave-400ml/p
7896018700536;10.68;Drogaven;Lenço Umedecido Íntimo Intimus sem perfume, 16 unidades;https://www.drogaven.com.br/lenco-umedecido-intimo-intimus-sem-perfume-16-unidades/p
7891010256784;21.76;Drogaven;ENXAGUANTE BUCAL LISTERINE 250ML ESPECIAL TARTAR CONTROL;https://www.drogaven.com.br/enxaguante-bucal-listerine-250ml-especial-tartar-control/p
7891010987787;32.9;Drogaven;ENXAGUANTE BUCAL LISTERINE 500ML ESPEC.ZERO ANTICARIES;https://www.drogaven.com.br/enxaguante-bucal-listerine-500ml-especzero-anticaries/p
7500435132749;37.15;Drogaven;Fralda Pampers Supersec XG, pacote com 22 unidades;https://www.drogaven.com.br/fralda-pampers-supersec-xg-pacote-com-22-unidades/p
7891150037397;12.64;Drogaven;Shampoo Seda Ceramidas 325mL;https://www.drogaven.com.br/shampoo-seda-ceramidas-325ml/p
7896331705140;25.33;Drogaven;Solução Bucal Periotrat sem álcool, menta 250mL;https://www.drogaven.com.br/solucao-bucal-periotrat-sem-alcool-menta-250ml/p
7897947615397;19.59;Drogaven;Sabonete Íntimo Dermafeme fresh, líquido, 2 unidades com 200mL cada;https://www.drogaven.com.br/dermafeme-2-frascos-x-200ml-sabonete-intimo-fresh/p
7898903991524;3.91;Drogaven;PRESERVATIVOS RILEX LUBRIFICADO 3UN TUTIFRUTI...;https://www.drogaven.com.br/preservativos-rilex-lubrificado-3un-tutifruti/p
7891528038827;8.72;Drogaven;Gel Dental Infantil Tandy tutti-frutti, 50g;https://www.drogaven.com.br/gel-dental-infantil-tandy-tutti-frutti-50g/p
7899706244107;27.34;Drogaven;Shampoo Elseve Pure Hialurônico Hidra Purificante 400mL;https://www.drogaven.com.br/shampoo-elseve-pure-hialuronico-hidra-purificante-400ml/p
7891182016407;25.23;Drogaven;Tintura Wella Koleston nº 81 louro cinza claro;https://www.drogaven.com.br/tintura-wella-koleston-no-81-louro-cinza-claro/p
4005900396938;13.71;Drogaven;Desodorante Masculino Nivea Men Original Protect Aerossol 150mL;https://www.drogaven.com.br/desodorante-antitranspirante-masculino-nivea-men-original-protect-aerossol-150ml/p
7506306244177;17.14;Drogaven;Desodorante Antitranspirante Feminino Rexona Motionsense Antibacterial + Invisible aerossol 150mL;https://www.drogaven.com.br/desodorante-antitranspirante-feminino-rexona-motionsense-antibacterial-invisible-aerossol-150ml/p
7899706135795;53.6;Drogaven;LOREAL SOLAR 50 EXPERTISE SUP PROT 120ML;https://www.drogaven.com.br/loreal-solar-50-expertise-sup-prot-120ml/p
7891150008151;17.53;Drogaven;Shampoo Feminino Anticaspa Clear Hidratação Intensa 200mL;https://www.drogaven.com.br/shampoo-feminino-anticaspa-clear-hidratacao-intensa-200ml/p
7894222036182;24.49;Drogaven;Batom Líquido Matte Dailus 12h sissone;https://www.drogaven.com.br/batom-liquido-matte-dailus-12h-sissone/p
7896111999554;6.56;Drogaven;Esmalte Glitter 3D Impala Viva, Ame e Brilhe Ninguém me Segura 7,5ml;https://www.drogaven.com.br/esmalte-impala-viva-ame-e-brilhe-glitter-ninguem-me-segura/p
7891024008799;12.73;Drogaven;Escova Dental Infantil Colgate Tandy 5+ anos, extra macia, sortida com 2 unidades;https://www.drogaven.com.br/escova-dental-infantil-colgate-tandy-5-anos-extra-macia-sortida-com-2-unidades/p
7896007550906;24.4;Drogaven;Absorvente Intimus Gel Noturno seca, com abas, pacote com 30 unidades;https://www.drogaven.com.br/absorvente-intimus-gel-noturno-seca-com-abas-pacote-com-30-unidades/p
7891035000898;31.64;Drogaven;Repelente SBP Baby 2+ meses, loção com 100mL;https://www.drogaven.com.br/repelente-sbp-baby-2-meses-locao-com-100ml/p
7908785485223;9.5;Drogaven;Esmalte Colorama Retrô Grace;https://www.drogaven.com.br/esmalte-colorama-retro-grace/p
