EAN;Produto;Preço (R$);Link
7891150097674;SABONETE LUX 85G ROSAS FRANCESAS 6UN;15.07;https://www.drogaven.com.br/sabonete-lux-85g-rosas-francesas-6un/p
7899952330104;KIT PERFUME 25ML + SABONETE CEBOLINHA;39.1;https://www.drogaven.com.br/kit-perfume-25ml-sabonete-cebolinha/p
7891142177155;Predsim Solução Oral 3mg/mL, frasco com 100mL de solução de uso oral + dosador;55.26;https://www.drogaven.com.br/predsim-solucao-oral-3mgml-frasco-com-100ml-de-solucao-de-uso-oral-dosador/p
7909843255710;Chinelo Feminino Havaianas Slim nº 35/36, nautical, marinho e rose gold;47.92;https://www.drogaven.com.br/havaianas-slim-nautical-marinhrose-goldbranco-356-1221417/p
7897655402043;Trinizol-M 30mg/g + 20mg/g, bisnaga com 40g de creme de uso vaginal + 7 aplicadores;39.24;https://www.drogaven.com.br/trinizol-m-7aplic-40g/p
7894650013380;Repelente Off! Baby 3+ meses, 117g;29.39;https://www.drogaven.com.br/repelente-off-baby-3-meses-117g/p
7898947170688;LUVA NITRILICA AZUL SEM PO MEDIX 100UNI G;43.22;https://www.drogaven.com.br/luva-nitrilica-azul-sem-po-medix-100uni-g/p
7896070603271;Nootropil 800mg, 30 comprimidos revestidos;42.47;https://www.drogaven.com.br/nootropil-800mg-30-comprimidos-revestidos/p
7892692810424;UNHA POSTIÇA AUTO COLANTE QUADRADA ROXA SABRINA SATO;9.79;https://www.drogaven.com.br/unha-postica-auto-colante-quadrada-roxa-sabrina-sato/p
7896653708294;Mini Bombom Flormel coco com 70g;12.04;https://www.drogaven.com.br/mini-bombom-flormel-coco-com-70g/p
7896422519373;Carvedilol Medley 12,5mg, 30 comprimidos;18.46;https://www.drogaven.com.br/carvedilol-medley-125mg-30-comprimidos/p
7899547505146;Desloratadina Prati-Donaduzzi 0,5mg/mL, frasco com 100mL de xarope + seringa dosadora;34.75;https://www.drogaven.com.br/desloratadina-susp-100ml-prati-donaduzzi-generico/p
7898468470823;Bisturi Descartável de Segurança Nº21 - Embramed;6.76;https://www.drogaven.com.br/bisturi-descartavel-n21-embramed/p
9001616712159;Chupeta MAM Original Night 0 a 6 meses, sortida com 1 unidade;46.94;https://www.drogaven.com.br/chupeta-mam-original-night-0-a-6-meses-sortida-com-1-unidade/p
7896658029462;Protetor Solar Profuse Ensolei Antiacne Color FPS 30 (40g);67.25;https://www.drogaven.com.br/protetor-solar-profuse-ensolei-antiacne-color-fps-30-com-40g/p
